county,STATE TOTAL,Adams,Allegheny,Armstrong,Beaver,Bedford,Berks,Blair,Bradford,Bucks,Butler,Cambria,Cameron,Carbon,Centre,Chester,Clarion,Clearfield,Clinton,Columbia,Crawford,Cumberland,Dauphin,Delaware,Elk,Erie,Fayette,Forest,Franklin,Fulton,Greene,Huntingdon,Indiana,Jefferson,Juniata,Lackawanna,Lancaster,Lawrence,Lebanon,Lehigh,Luzerne,Lycoming,McKean,Mercer,Mifflin,Monroe,Montgomery,Montour,Northampton,Northumberland,Perry,Philadelphia,Pike,Potter,Schuylkill,Snyder,Somerset,Sullivan,Susquehanna,Tioga,Union,Venango,Warren,Washington,Wayne,Westmoreland,Wyoming,York
Jul-03,"1,568,331","7,305","146,549","10,640","24,496","6,975","41,729","21,840","9,056","32,988","15,227","22,000",910,"6,895","8,983","20,836","6,242","15,191","5,701","7,259","15,040","11,196","30,123","57,616","4,307","47,444","33,219",894,"11,916","1,765","7,871","6,613","11,553","7,654","2,139","26,698","41,348","15,563","11,976","37,032","40,521","15,729","8,017","18,905","6,848","16,300","38,611","2,179","23,173","11,286","4,229","409,973","4,467","3,029","17,600","3,894","11,113",894,"6,391","5,867","3,400","10,299","6,022","24,144","6,246","39,541","3,776","33,088"
Aug-03,"1,583,604","7,393","147,640","10,802","24,740","7,079","42,012","21,983","9,201","33,441","15,417","22,213",954,"6,940","9,062","21,078","6,185","15,351","5,765","7,363","15,277","11,411","30,328","58,267","4,362","47,900","33,454",881,"12,027","1,819","8,004","6,677","11,655","7,737","2,151","26,827","41,877","15,793","12,326","37,688","41,009","15,859","8,118","19,060","6,844","16,462","38,825","2,156","23,385","11,341","4,293","413,850","4,503","3,104","17,683","3,862","11,262",906,"6,418","5,952","3,489","10,383","6,088","24,140","6,265","40,111","3,821","33,335"
Sep-03,"1,593,909","7,455","149,088","10,795","24,739","7,113","42,444","22,100","9,313","33,827","15,508","22,382",959,"7,078","9,047","21,057","6,203","15,415","5,859","7,444","15,251","11,734","30,563","58,667","4,410","48,336","33,553",881,"12,217","1,826","8,050","6,666","11,642","7,690","2,202","27,329","42,235","15,859","12,431","38,272","41,131","15,968","8,107","19,488","6,926","16,707","39,021","2,159","23,590","11,431","4,331","414,906","4,556","3,075","17,868","3,913","11,312",880,"6,418","6,061","3,582","10,475","6,109","24,263","6,299","40,254","3,880","33,559"
Oct-03,"1,598,428","7,500","149,489","10,837","24,986","7,092","42,668","22,131","9,285","33,845","15,562","22,322",942,"7,176","9,038","21,267","6,204","15,543","5,876","7,408","15,317","11,688","30,588","58,665","4,396","48,633","33,464",901,"12,149","1,791","8,011","6,712","11,639","7,751","2,204","27,096","42,544","15,991","12,571","38,421","41,631","16,078","8,048","19,292","7,009","17,046","39,168","2,178","23,617","11,474","4,320","415,709","4,605","3,091","17,956","3,943","11,280",885,"6,423","6,066","3,558","10,494","6,112","24,236","6,389","40,387","3,834","33,896"
Nov-03,"1,606,559","7,481","149,850","10,921","24,968","7,147","42,949","22,269","9,322","34,105","15,616","22,429",916,"7,177","9,094","21,345","6,215","15,494","5,915","7,455","15,215","11,858","30,749","59,081","4,418","48,740","33,565",898,"12,459","1,801","8,001","6,688","11,673","7,812","2,209","27,390","43,151","16,024","12,733","38,696","41,997","16,208","8,083","19,470","7,052","17,000","39,641","2,144","23,748","11,452","4,308","417,378","4,679","3,101","18,010","3,917","11,325",889,"6,487","6,053","3,556","10,475","6,097","24,381","6,430","40,640","3,869","34,340"
Dec-03,"1,599,837","7,492","149,536","10,931","24,787","7,098","42,968","22,295","9,388","33,876","15,558","22,190",911,"7,104","9,106","21,211","6,186","15,550","5,891","7,438","15,195","11,714","30,716","59,009","4,398","48,585","33,399",889,"12,267","1,828","8,049","6,677","11,604","7,782","2,197","26,998","43,196","16,082","12,619","38,452","42,019","16,085","8,179","19,124","7,055","16,955","39,416","2,162","23,601","11,465","4,319","414,505","4,639","3,047","18,064","3,947","11,238",883,"6,433","6,067","3,572","10,521","6,083","24,296","6,462","40,502","3,882","34,144"
Jan-04,"1,619,962","7,645","151,084","11,038","25,122","7,222","43,542","22,453","9,481","34,355","15,823","22,331",905,"7,203","9,276","21,599","6,233","15,706","5,965","7,489","15,532","12,109","31,095","59,916","4,394","49,178","33,707",906,"12,526","1,848","8,179","6,760","11,679","7,868","2,197","27,700","44,142","16,099","12,734","39,192","42,292","16,195","8,292","19,454","7,119","17,438","40,024","2,184","23,959","11,608","4,406","418,511","4,716","3,103","18,334","4,048","11,372",887,"6,519","6,163","3,619","10,591","6,225","24,510","6,524","40,985","3,854","34,797"
Feb-04,"1,633,543","7,789","152,302","11,176","25,393","7,244","44,181","22,640","9,530","34,740","16,073","22,445",903,"7,313","9,361","21,851","6,239","15,707","5,968","7,520","15,725","12,265","31,324","60,682","4,426","49,775","34,168",911,"12,668","1,841","8,297","6,766","11,706","7,945","2,229","27,943","45,147","16,224","12,804","39,484","42,611","16,185","8,332","19,682","7,142","17,641","40,505","2,229","24,304","11,739","4,481","420,128","4,765","3,093","18,419","4,034","11,444",919,"6,632","6,210","3,655","10,660","6,282","24,679","6,525","41,400","3,893","35,249"
Mar-04,"1,646,213","7,829","153,322","11,190","25,661","7,311","45,108","22,800","9,709","35,062","16,191","22,575",923,"7,433","9,485","22,051","6,305","15,816","6,001","7,567","15,830","12,270","31,561","61,070","4,519","50,164","34,258",945,"12,674","1,872","8,359","6,809","11,757","8,042","2,311","27,850","45,572","16,371","12,917","39,837","43,023","16,412","8,384","19,677","7,250","18,035","40,870","2,265","24,503","11,788","4,652","422,465","4,920","3,138","18,498","4,094","11,602",941,"6,636","6,213","3,658","10,774","6,389","24,915","6,577","41,643","3,969","35,595"
Apr-04,"1,655,202","7,863","154,233","11,307","25,838","7,202","45,729","22,790","9,835","35,358","15,985","22,613",917,"7,501","9,592","22,153","6,418","15,834","6,031","7,630","15,938","12,429","31,932","61,324","4,552","50,136","34,397",947,"12,623","1,881","8,221","6,830","11,826","8,035","2,356","28,228","45,866","16,491","13,022","40,247","43,340","16,610","8,389","19,803","7,286","18,322","41,209","2,282","24,675","11,979","4,629","423,912","4,996","3,160","18,617","4,110","11,619",930,"6,634","6,049","3,727","10,833","6,201","25,208","6,695","41,872","4,031","35,974"
